mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.6667378743489584,0.016513949287420275,0.06641888618469238,0.005405656040303285,,8,1,150,"{'model__class_weight': None, 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__n_estimators': 150}",0.743179358882819,0.6444948057362032,0.6612104256346797,0.6829615300845674,0.043123799817341796,3,0.967038968077854,0.9659031303110243,0.9624752084033651,0.9651391022640811,0.0019398934221600424
0.4446446895599365,0.03480381509618977,0.0501562754313151,0.010364997930650597,,8,3,150,"{'model__class_weight': None, 'model__max_depth': 8, 'model__min_samples_leaf': 3, 'model__n_estimators': 150}",0.7204509953773648,0.6283797351565611,0.628787587170402,0.6592061059014426,0.04330699674806016,6,0.9224000963131946,0.9251559755406565,0.9208734329539994,0.9228098349359503,0.0017721845381461216
0.5555760065714518,0.02115997938724847,0.06116549173990885,0.008121377001503616,,,1,150,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 150}",0.7912899786590437,0.7226063373417968,0.7378411231297641,0.7505791463768682,0.029451129840600682,1,1.0,1.0,0.9999999999999999,1.0,6.409875621278546e-17
0.5142510732014974,0.033876301410751604,0.05200910568237305,0.002221061748862575,,,3,150,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 150}",0.7218208218664628,0.6489016396175734,0.6583788046255512,0.6763670887031958,0.03237267940723286,5,0.9827906239679138,0.9835779960584584,0.9824868210518051,0.9829518136927257,0.00045982048622257137
0.4688090483347575,0.045868727687796415,0.04524358113606771,0.0031764616385020943,balanced,8,1,150,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 1, 'model__n_estimators': 150}",0.697737877133832,0.6319210437015901,0.6317001946007831,0.6537863718120683,0.03107853823909238,7,0.969584605530709,0.9618029127371502,0.9671260256740826,0.9661711813139805,0.0032478178825528434
0.4424632390340169,0.032905863300544354,0.05872138341267904,0.007239360440187514,balanced,8,3,150,"{'model__class_weight': 'balanced', 'model__max_depth': 8, 'model__min_samples_leaf': 3, 'model__n_estimators': 150}",0.6900335678056275,0.6214285495961496,0.6106154517435485,0.6406925230484418,0.03516754938472333,8,0.9355481084136791,0.9258418321548322,0.9251790365187161,0.9288563256957425,0.00473953524246629
0.5161451498667399,0.014856040667778134,0.055965582529703774,0.004852456958884349,balanced,,1,150,"{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 150}",0.7668801697518306,0.7240503827980183,0.729890026453732,0.7402735263345269,0.01896418492770148,2,1.0,1.0,0.9999999999999999,1.0,6.409875621278546e-17
0.5244360764821371,0.021907558781301403,0.04880332946777344,0.009710707339467032,balanced,,3,150,"{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 150}",0.7251831705625256,0.664652352430869,0.6558238578107494,0.681886460268048,0.030826821882437728,4,0.9888890776410424,0.9862211766765713,0.987116882076801,0.9874090454648048,0.0011085857275597885
