feature,importance
Passport,0.25118491897167405
Designation,0.21906906489365052
MaritalStatus,0.12424165339869375
Age,0.10613873620536063
CityTier,0.08373501443701015
PreferredPropertyStar,0.07307562804692819
Occupation,0.06941912151305091
NumberOfTrips,0.06644986776221434
Gender,0.048911263564537066
MonthlyIncome,0.04751139604770388
OwnCar,0.01472246540574601
NumberOfPersonVisiting,0.007466550649555481
NumberOfChildrenVisiting,-0.009015419433033078
